,dialogue,tokens,compound,fear,anger,anticip,trust,surprise,sadness,disgust,joy
700,"(continuing unphased) You wanna get the other end, cause I wanna get it in the hall.","['(continuing unphased) You wanna get the other end, cause I wanna get it in the hall.']",,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
701,"Fifty dollars, okay? Fifty dollars, is that all right?","['Fifty dollars, okay?', 'Fifty dollars, is that all right?']",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
702,Fifty dollars?,['Fifty dollars?'],,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
703,Uh-huh.,['Uh-huh.'],,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
704,Thank you very much.,['Thank you very much.'],0.3612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
705,Thank you very much.,['Thank you very much.'],0.3612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
706,"Hey, whats goin on?","['Hey, whats goin on?']",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
707,I just bought Jerrys couch for fifty dollars.,['I just bought Jerrys couch for fifty dollars.'],,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
708,"(to George) So did you bring the lease? (George takes the lease from his inside pocket and hands it to Jerry.) All right, gee, three years, that kinda seems like a long time.","['(to George) So did you bring the lease?', '(George takes the lease from his inside pocket and hands it to Jerry.)', 'All right, gee, three years, that kinda seems like a long time.']",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
709,"(frantic) Oh, Jerry Jerry Jerry Jerry Jerry, listen, if, if you are feeling uncomfortable about this at all, at all. Do not feel like you have to take it.","['(frantic) Oh, Jerry Jerry Jerry Jerry Jerry, listen, if, if you are feeling uncomfortable about this at all, at all.', 'Do not feel like you have to take it.']",-0.3639,0.125,0.0625,0.0,0.0625,0.125,0.0625,0.125,0.0625
710,Why?,['Why?'],,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
711,"If youre having second thoughts, if you didnt want it, dont worry about it because uh, you know, I, I...I could take it, you know.","['If youre having second thoughts, if you didnt want it, dont worry about it because uh, you know, I, I...I could take it, you know.']",0.2924,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0
712,You could take it? You want it?,"['You could take it?', 'You want it?']",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
713,"No, I dont want it. I want it, if you dont want it.","['No, I dont want it.', 'I want it, if you dont want it.']",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
714,So you do want it.,['So you do want it.'],,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
715,"No I, I want it if you dont want it.","['No I, I want it if you dont want it.']",-0.2783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
716,You just said you wanted it!,['You just said you wanted it!'],,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
717,"No, Im saying, if a situation arose in which you didnt want it, I might take it.","['No, Im saying, if a situation arose in which you didnt want it, I might take it.']",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
718,So take it.,['So take it.'],,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
719,How can I take it?,['How can I take it?'],,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
720,How can I take it?,['How can I take it?'],,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
721,Its your apartment!,['Its your apartment!'],,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
722,"How can I want it now, if you want it?","['How can I want it now, if you want it?']",0.1531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
723,"Excuse me, uh, I dont mean to cause any trouble here, but George, if you take it, can I take your place?","['Excuse me, uh, I dont mean to cause any trouble here, but George, if you take it, can I take your place?']",-0.1779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
724,"Yes, but I am not taking it.","['Yes, but I am not taking it.']",0.2144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
725,I...am not taking it.,['I...am not taking it.'],,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
726,"Well, one of you better damn well take it!","['Well, one of you better damn well take it!']",0.5707,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
727,"Well, whaddaya wanna do here?","['Well, whaddaya wanna do here?']",0.2732,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
728,"I, I dont know.","['I, I dont know.']",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
729,Do you wanna flip a coin?,['Do you wanna flip a coin?'],,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
730,"Who flips? Youll flip, Ill call.","['Who flips?', 'Youll flip, Ill call.']",-0.2107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
731,"Okay, fine. (Jerry takes a coin from his pocket.) This is the official flip. No crying, no guilt, winner takes all and thats it. Agreed?","['Okay, fine.', '(Jerry takes a coin from his pocket.)', 'This is the official flip.', 'No crying, no guilt, winner takes all and thats it.', 'Agreed?']",,0.0,0.0,0.0,0.1,0.1,0.2,0.1,0.1
732,Im good.,['Im good.'],0.4404,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.2
733,"I dont know, who to root for, Georges place has carpeting.","['I dont know, who to root for, Georges place has carpeting.']",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
734,"All right, now you call it in the air.","['All right, now you call it in the air.']",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
735,No catchin.,['No catchin.'],-0.296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
736,No no.,['No no.'],-0.296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
737,Flip it.,['Flip it.'],,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
738,Heads!,['Heads!'],,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
739,Tails!,['Tails!'],,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
740,"No, it hit the table, it hit the table.","['No, it hit the table, it hit the table.']",,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
741,So what?,['So what?'],,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
742,"Interference! You cant count that! Come on, are you crazy?! The coin cannot touch anything, it affects it.","['Interference!', 'You cant count that!', 'Come on, are you crazy?!', 'The coin cannot touch anything, it affects it.']",,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0
743,You didnt call no interference!,['You didnt call no interference!'],0.2914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
744,You dont have to call that! Thats a rule!,"['You dont have to call that!', 'Thats a rule!']",,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0
745,I dont believe this.,['I dont believe this.'],,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
746,"Oh oh oh, all right, fine, Jerry, you win. Take it, just take it!","['Oh oh oh, all right, fine, Jerry, you win.', 'Take it, just take it!']",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
747,"I dont wanna win it like this! Elaine, what do you think?","['I dont wanna win it like this!', 'Elaine, what do you think?']",,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
748,Id better not.,['Id better not.'],0.4404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
749,"Well, Ill tell you what. Ill choose you for it. Straight choose, three takes it, no disputes...thats it, you gotta win three.","['Well, Ill tell you what.', 'Ill choose you for it.', 'Straight choose, three takes it, no disputes...thats it, you gotta win three.']",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
750,Okay. (They walk around each other.) OK. Ill choose you. Whaddaya want?,"['Okay.', '(They walk around each other.)', 'OK. Ill choose you.', 'Whaddaya want?']",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
751,Odds.,['Odds.'],,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
752,I want evens.,['I want evens.'],,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
753,Good.,['Good.'],0.4404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
754,You got odds.,['You got odds.'],,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
755,You got evens.,['You got evens.'],,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
756,"Right, ready?","['Right, ready?']",0.3612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
757,For the apartment.,['For the apartment.'],,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
758,"Once, twice, three, shoot!","['Once, twice, three, shoot!']",-0.4003,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
759,Mine!,['Mine!'],,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
760,"Once, twice, three, shoot!","['Once, twice, three, shoot!']",-0.4003,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
761,Mine!,['Mine!'],,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
762,"Once, twice, three, shoot!","['Once, twice, three, shoot!']",-0.4003,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
763,Mine!,['Mine!'],,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
764,"Once, twice, three, shoot!","['Once, twice, three, shoot!']",-0.4003,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
765,Congratulations...congratulations.,['Congratulations...congratulations.'],,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
766,Thanks.,['Thanks.'],0.4404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
767,I'm just gonna...wash. (George walks to the bathroom; screaming) WHY DID I PUT UP TWO? WHY DID I PUT UP TWO?,"[""I'm just gonna...wash. (George walks to the bathroom; screaming) WHY DID I PUT UP TWO?"", 'WHY DID I PUT UP TWO?']",-0.2258,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.0
768,"Jerry, I think Im on to something. I think I found your stuff. You know the Englishman who lives down the hall?","['Jerry, I think Im on to something.', 'I think I found your stuff.', 'You know the Englishman who lives down the hall?']",,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
769,Yeah.,['Yeah.'],0.296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
770,The last couple a days hes been acting very strange. I think hes avoiding me.,"['The last couple a days hes been acting very strange.', 'I think hes avoiding me.']",-0.17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
771,Hard to imagine.,['Hard to imagine.'],,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
772,"Yeah! And get this I just got off the elevator with him and I tested him, I tested him, like I...this is what I said to him, like I, I was like this, I went, Oh, by the way, I know about the stuff.","['Yeah!', 'And get this I just got off the elevator with him and I tested him, I tested him, like I...this is what I said to him, like I, I was like this, I went, Oh, by the way, I know about the stuff.']",0.3888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
773,"..you know, very casually,","['..you know, very casually,']",0.2484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
774,Right.,['Right.'],,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
775,(cont'd) so that he was gonna take me into his confidence.,"[""(cont'd) so that he was gonna take me into his confidence.""]",0.5106,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25
776,So what did he say?,['So what did he say?'],,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
777,What stuff?,['What stuff?'],,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
778,"Ooh, (to Elaine) case closed!","['Ooh, (to Elaine) case closed!']",,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
779,"No, you dont understand, you see, he swallowed. See, the guy, he swallowed. Oh, he was nervous about something! Now, Im gonna go over there, Im gonna borrow some tea. If I dont get back in five minutes, maybe youd better call the police.","['No, you dont understand, you see, he swallowed.', 'See, the guy, he swallowed.', 'Oh, he was nervous about something!', 'Now, Im gonna go over there, Im gonna borrow some tea.', 'If I dont get back in five minutes, maybe youd better call the police.']",,0.3333333333333333,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0
780,"Okay, starting...NOW!","['Okay, starting...NOW!']",0.2942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
781,Yeah!,['Yeah!'],0.3595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
782,"One of the problems in life is that when youre a kid, you have a certain way of working out disagreements. And those laws do not work in the adult world. One of the main ways that kids resolve any dispute is by calling it. One of them says, I got the front seat I wanted the front seat! I called it. And the other kid knows hes got nothing to say He called it. What can I do? If there was a Kid Court Of Law, it holds up. Your Honour, my client did ask for the front seat And the judge would go, Did he call it? Well no, he didnt call- BANG! (Jerry imitates a judge banging his gavel.) He has to call it, case closed. Objection overruled.","['One of the problems in life is that when youre a kid, you have a certain way of working out disagreements.', 'And those laws do not work in the adult world.', 'One of the main ways that kids resolve any dispute is by calling it.', 'One of them says, I got the front seat I wanted the front seat!', 'I called it.', 'And the other kid knows hes got nothing to say He called it.', 'What can I do?', 'If there was a Kid Court Of Law, it holds up.', 'Your Honour, my client did ask for the front seat And the judge would go, Did he call it?', 'Well no, he didnt call- BANG!', '(Jerry imitates a judge banging his gavel.)', 'He has to call it, case closed.', 'Objection overruled.']",,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.0,0.0
783,I love the mirror in that bathroom! I dont know what in the hell it is. I look terrific in that mirror. (George sits.) I dont know if its the tile or the lighting... I feel like Robert Wagner.,"['I love the mirror in that bathroom!', 'I dont know what in the hell it is.', 'I look terrific in that mirror.', '(George sits.)', 'I dont know if its the tile or the lighting...', 'I feel like Robert Wagner.']",,0.125,0.125,0.0,0.0,0.0,0.25,0.125,0.125
784,"Its a good mirror. (They look at their menus.) So, what are you gettin?","['Its a good mirror.', '(They look at their menus.)', 'So, what are you gettin?']",,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.2
785,"I dont know, I cant eat. You, you cant have anything anymore. Look at this, look at this. Eggs out. Coffee out. French fries out. BLT out! I go to visit my grandparents three big brisket sandwiches, Im sittin here with a carrot! Theyre closing in on a hundred, Im sayin to them, How can you eat that stuff? (They look at their menus again.) Im so sick about losin that choose, you dont know.","['I dont know, I cant eat.', 'You, you cant have anything anymore.', 'Look at this, look at this.', 'Eggs out.', 'Coffee out.', 'French fries out.', 'BLT out!', 'I go to visit my grandparents three big brisket sandwiches, Im sittin here with a carrot!', 'Theyre closing in on a hundred, Im sayin to them, How can you eat that stuff?', '(They look at their menus again.)', 'Im so sick about losin that choose, you dont know.']",,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0
786,"All right, forget it, forget it. Im not taking the place!","['All right, forget it, forget it.', 'Im not taking the place!']",-0.2377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
787,What?!,"['What?', '!']",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
788,How can I live there?,['How can I live there?'],,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
789,Why not?!,"['Why not?', '!']",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
790,"Look at you, youre still thinking about it. Ill never feel comfortable.","['Look at you, youre still thinking about it.', 'Ill never feel comfortable.']",-0.2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
791,"Oh, get outta here.","['Oh, get outta here.']",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
792,How can I ever have you over? Youll sit there moping.,"['How can I ever have you over?', 'Youll sit there moping.']",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
793,I wont mope.,['I wont mope.'],0.3412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
794,Youre already moping! Would you take the place?,"['Youre already moping!', 'Would you take the place?']",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
795,"No, impossible! Its your apartment.","['No, impossible!', 'Its your apartment.']",,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
796,You found the place.,['You found the place.'],,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
797,You won the choose.,['You won the choose.'],0.5719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
798,"All right, forget it, its over, Im not moving.","['All right, forget it, its over, Im not moving.']",-0.2263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
799,"Well, me neither.","['Well, me neither.']",0.2732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
800,Definitely?,['Definitely?'],0.4019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
801,Definitely.,['Definitely.'],0.4019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
802,"Alright, then just get rid of it. You wont have any problem.","['Alright, then just get rid of it.', 'You wont have any problem.']",0.2519,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0
803,"No, its not a problem, I can get rid of the apartment this afternoon.","['No, its not a problem, I can get rid of the apartment this afternoon.']",0.3089,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
804,What apartment?,['What apartment?'],,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
805,"Oh, its a great place, its uh two-bedroom uh, west 83rd bout half block from the park.","['Oh, its a great place, its uh two-bedroom uh, west 83rd bout half block from the park.']",0.296,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
806,Whats the rent?,['Whats the rent?'],,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
807,"I dont know, what were doin here, this is ridiculous.","['I dont know, what were doin here, this is ridiculous.']",-0.3612,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
808,She wanted to thank us for the apartment.,['She wanted to thank us for the apartment.'],0.3612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
809,I cant believe I lost the deposit on that U-Haul. And I threw out my couch.,"['I cant believe I lost the deposit on that U-Haul.', 'And I threw out my couch.']",,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0
810,If only the coin hadnt hit the table.,['If only the coin hadnt hit the table.'],,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
811,"The table is interference, you know it!","['The table is interference, you know it!']",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
812,It is not!,['It is not!'],,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
813,It is too!,['It is too!'],,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
814,My roommate starts rehearsal tonight on Carousel.,['My roommate starts rehearsal tonight on Carousel.'],,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
815,Hi.,['Hi.'],,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
816,"Hi, Carol.","['Hi, Carol.']",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
817,"I just wanted to introduce you to my husband, this is Larry.","['I just wanted to introduce you to my husband, this is Larry.']",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
818,"This is George, Elaine and Jerry. These are the guys who got us the apartment.","['This is George, Elaine and Jerry.', 'These are the guys who got us the apartment.']",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
819,"Oh, you dont know how grateful I am, if theres anything I can ever do to repay you, I, I mean, were just so thrilled with this place.","['Oh, you dont know how grateful I am, if theres anything I can ever do to repay you, I, I mean, were just so thrilled with this place.']",0.3096,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666
820,Its a dream.,['Its a dream.'],0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821,"Im running in the park now, Ive lost weight, were barbecuing every night and the rent is unbelievable.","['Im running in the park now, Ive lost weight, were barbecuing every night and the rent is unbelievable.']",,0.08333333333333333,0.0,0.0,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.08333333333333333
822,Were really glad for you.,['Were really glad for you.'],0.5095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
823,Couldnt be happier.,['Couldnt be happier.'],-0.4168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
824,Its wonderful.,['Its wonderful.'],0.5719,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25
825,"Diane, Diane, come here.","['Diane, Diane, come here.']",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
826,"This is my new next door neighbour, Diane.","['This is my new next door neighbour, Diane.']",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
827,"(to Diane) These are the guys, who turned this place down, can you believe it? (to Jerry, George and Elaine) Diane gave me the greatest backrub today. Shes a masseuse!","['(to Diane) These are the guys, who turned this place down, can you believe it?', '(to Jerry, George and Elaine) Diane gave me the greatest backrub today.', 'Shes a masseuse!']",0.2232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
828,"How, how could you guys have turned this place down, its such a great location and its...so close to the park.","['How, how could you guys have turned this place down, its such a great location and its...so close to the park.']",0.6249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
829,"Were aware of the proximity to the park, yes.","['Were aware of the proximity to the park, yes.']",0.4019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830,"Well, it was nice to meet you.","['Well, it was nice to meet you.']",0.5994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
831,Nice meeting you.,['Nice meeting you.'],0.4215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
832,"How late are the stores open? Im thinking of maybe uh, buying a new TV and smash it over my head.","['How late are the stores open?', 'Im thinking of maybe uh, buying a new TV and smash it over my head.']",,0.2,0.2,0.0,0.0,0.0,0.2,0.0,0.0
833,"I get a call from Gilmour this morning, and get this theyre restructuring the organization in Atlanta and I gotta be there on the first of the month.","['I get a call from Gilmour this morning, and get this theyre restructuring the organization in Atlanta and I gotta be there on the first of the month.']",,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.2
834,Really? What are you gonna bout the apartment?,"['Really?', 'What are you gonna bout the apartment?']",,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
835,"Well, what can I do? Give it up.","['Well, what can I do?', 'Give it up.']",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
836,Whats the rent?,['Whats the rent?'],,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
